Math,Physics,Chemistry,Biology,English,History
78,96,87,47,68,71
91,42,54,51,75,71
68,76,47,73,52,63
54,90,53,72,71,80
82,46,62,87,46,91
47,60,99,94,98,88
100,48,96,62,90,88
60,78,79,63,61,97
78,57,60,76,67,91
97,43,55,74,41,51
58,64,84,83,81,78
62,99,57,79,84,41
50,53,86,61,96,42
50,89,92,66,92,88
63,97,63,74,45,76
92,48,65,40,67,88
75,65,64,74,67,95
79,92,99,76,83,56
63,41,99,86,83,98
42,59,99,53,59,88
61,67,84,42,69,41
92,86,80,40,50,41
41,99,68,44,97,67
63,46,54,65,94,93
83,83,84,94,67,62
69,100,40,53,64,76
77,47,64,78,78,71
41,86,46,66,72,72
99,74,48,48,40,40
60,53,63,54,96,58
72,56,40,54,66,41
51,75,83,65,96,92
97,89,47,81,91,83
61,79,63,99,52,65
100,43,50,52,80,71
83,41,90,90,42,45
64,45,56,71,78,71
88,93,47,78,45,94
66,81,74,88,47,43
98,43,74,91,66,94
81,93,72,100,48,50
67,68,98,71,76,95
99,57,44,43,72,98
55,65,81,69,90,56
54,83,78,76,81,77
86,73,97,62,83,63
90,49,80,78,63,44
83,75,67,84,54,91
94,53,46,54,98,73
91,70,48,82,93,45
